file,subject
1801.00333,Optimization and Control (math.OC)
1801.04322,Numerical Analysis (math.NA)
1801.02457,Logic in Computer Science (cs.LO)
1801.01710,Cryptography and Security (cs.CR)
1801.04523,"Distributed, Parallel, and Cluster Computing (cs.DC)"
1801.06358,Information Theory (cs.IT)
1801.03026,Statistical Mechanics (cond-mat.stat-mech)
1801.06161,Social and Information Networks (cs.SI)
1801.00592,High Energy Physics - Phenomenology (hep-ph)
1801.00401,Strongly Correlated Electrons (cond-mat.str-el)
1801.06412,High Energy Physics - Lattice (hep-lat)
1801.03330,Quantum Physics (quant-ph)
1801.03442,General Relativity and Quantum Cosmology (gr-qc)
1801.03557,Information Theory (cs.IT)
1801.00396,Mathematical Physics (math-ph)
1801.05762,Number Theory (math.NT)
1801.10290,Atomic and Molecular Clusters (physics.atm-clus)
1801.04126,Differential Geometry (math.DG)
1801.01088,Optimization and Control (math.OC)
1801.01429,Representation Theory (math.RT)
1801.01256,Analysis of PDEs (math.AP)
1801.04543,Strongly Correlated Electrons (cond-mat.str-el)
1801.03765,Optimization and Control (math.OC)
1801.09896,Computation and Language (cs.CL)
1801.05270,Mesoscale and Nanoscale Physics (cond-mat.mes-hall)
1801.01668,Medical Physics (physics.med-ph)
1801.04309,Methodology (stat.ME)
1801.04749,Image and Video Processing (eess.IV)
1801.05168,Networking and Internet Architecture (cs.NI)
1801.04381,Computer Vision and Pattern Recognition (cs.CV)
1801.06283,High Energy Physics - Experiment (hep-ex)
1801.10519,Logic in Computer Science (cs.LO)
1801.04076,Multimedia (cs.MM)
1801.02785,Functional Analysis (math.FA)
1801.04463,Information Theory (cs.IT)
1801.02603,Formal Languages and Automata Theory (cs.FL)
1801.00094,Performance (cs.PF)
1801.09225,Logic in Computer Science (cs.LO)
1801.10017,Systems and Control (cs.SY)
1801.02053,Quantum Physics (quant-ph)
1801.04973,Information Theory (cs.IT)
1801.03480,Algebraic Topology (math.AT)
1801.03875,Strongly Correlated Electrons (cond-mat.str-el)
1801.03066,Information Theory (cs.IT)
1801.10192,Fluid Dynamics (physics.flu-dyn)
1801.04723,"Distributed, Parallel, and Cluster Computing (cs.DC)"
1801.01828,Computation and Language (cs.CL)
1801.03581,Soft Condensed Matter (cond-mat.soft)
1801.02527,High Energy Physics - Theory (hep-th)
1801.07606,Learning (cs.LG)
1801.09048,Strongly Correlated Electrons (cond-mat.str-el)
1801.05159,Learning (cs.LG)
1801.01770,Analysis of PDEs (math.AP)
1801.10397,Mesoscale and Nanoscale Physics (cond-mat.mes-hall)
1801.06545,Instrumentation and Methods for Astrophysics (astro-ph.IM)
1801.10534,Plasma Physics (physics.plasm-ph)
1801.02090,Statistics Theory (math.ST)
1801.08832,Probability (math.PR)
1801.04268,Cosmology and Nongalactic Astrophysics (astro-ph.CO)
1801.06390,Classical Analysis and ODEs (math.CA)
1801.08093,Learning (cs.LG)
1801.01916,Materials Science (cond-mat.mtrl-sci)
1801.04890,Solar and Stellar Astrophysics (astro-ph.SR)
1801.09115,High Energy Physics - Phenomenology (hep-ph)
1801.05894,History and Overview (math.HO)
1801.02618,Astrophysics of Galaxies (astro-ph.GA)
1801.06181,Instrumentation and Detectors (physics.ins-det)
1801.03891,Materials Science (cond-mat.mtrl-sci)
1801.04307,Signal Processing (eess.SP)
1801.08266,Information Theory (cs.IT)
1801.03639,Cosmology and Nongalactic Astrophysics (astro-ph.CO)
1801.04723,"Distributed, Parallel, and Cluster Computing (cs.DC)"
1801.08585,Neurons and Cognition (q-bio.NC)
1801.05728,Strongly Correlated Electrons (cond-mat.str-el)
1801.00521,Mathematical Physics (math-ph)
1801.05091,Computer Vision and Pattern Recognition (cs.CV)
1801.00424,Instrumentation and Detectors (physics.ins-det)
1801.03829,Human-Computer Interaction (cs.HC)
1801.09810,Learning (cs.LG)
1801.00191,Representation Theory (math.RT)
1801.06455,Numerical Analysis (math.NA)
1801.01633,Cryptography and Security (cs.CR)
1801.05124,Computer Vision and Pattern Recognition (cs.CV)
1801.02761,Dynamical Systems (math.DS)
